Driver Full Name,Season,Race ID,Track Name,Race,Start,Finish,Wins,Top 5s,Top 10s,DNFs,Laps Led,Points,Playoff Points Earned,Laps Completed,Interval
Alex Bowman,2024,3,Bristol Motor Speedway,Bristol1,29,4,0,1,1,0,3,33,0,500,14.342 seconds
Kyle Larson,2024,3,Bristol Motor Speedway,Bristol1,10,5,0,1,1,0,19,44,0,500,15.155 seconds
Chase Elliott,2024,3,Bristol Motor Speedway,Bristol1,5,8,0,0,1,0,5,29,0,499,-1 lap
Ty Gibbs,2024,3,Bristol Motor Speedway,Bristol1,19,9,0,0,1,0,137,48,2,499,-1 lap
Christopher Bell,2024,3,Bristol Motor Speedway,Bristol1,12,10,0,0,1,0,29,36,0,499,-1 lap
Chase Briscoe,2024,3,Bristol Motor Speedway,Bristol1,6,13,0,0,0,0,0,24,0,498,-2 laps
Ryan Blaney,2024,3,Bristol Motor Speedway,Bristol1,1,16,0,0,0,0,14,26,0,498,-2 laps
Daniel Suárez,2024,3,Bristol Motor Speedway,Bristol1,28,18,0,0,0,0,0,19,0,498,-2 laps
Joey Logano,2024,3,Bristol Motor Speedway,Bristol1,4,22,0,0,0,0,5,23,0,498,-2 laps
Tyler Reddick,2024,3,Bristol Motor Speedway,Bristol1,23,30,0,0,0,0,4,7,0,495,-5 laps
Austin Cindric,2024,3,Bristol Motor Speedway,Bristol1,21,31,0,0,0,0,0,6,0,495,-5 laps
Harrison Burton,2024,3,Bristol Motor Speedway,Bristol1,13,32,0,0,0,0,0,5,0,495,-5 laps
William Byron,2024,3,Bristol Motor Speedway,Bristol1,8,35,0,0,0,0,0,2,0,492,-8 laps
